case	negative	positive
0223_2005-04-01 00:00:00_Poland.txt	41	60
0210_2005-04-01 00:00:00_Greece.txt	22	24
0255_2006-04-01 00:00:00_Denmark.txt	14	30
0140_2003-11-01 00:00:00_Sweden.txt	22	35
0176_2004-04-01 00:00:00_Slovenia.txt	24	47
0237_2005-11-01 00:00:00_Ireland.txt	18	40
0111_2002-11-01 00:00:00_United Kingdom.txt	29	47
0251_2005-11-01 00:00:00_Finland.txt	11	17
0043_2000-11-01 00:00:00_Ireland.txt	23	33
0075_2001-11-01 00:00:00_Luxembourg.txt	8	32
0226_2005-04-01 00:00:00_Slovakia.txt	15	26
0177_2004-04-01 00:00:00_Bulgaria.txt	16	31
0159_2003-11-01 00:00:00_Hungary.txt	22	19
0054_2001-04-01 00:00:00_Germany.txt	20	36
0258_2006-04-01 00:00:00_Greece.txt	18	37
0103_2002-11-01 00:00:00_Ireland.txt	25	41
0072_2001-11-01 00:00:00_France.txt	27	33
0044_2000-11-01 00:00:00_Italy.txt	20	53
0148_2004-04-01 00:00:00_Ireland.txt	11	34
0206_2005-04-01 00:00:00_Belgium.txt	18	36
0012_1999-04-01 00:00:00_Greece.txt	12	23
0186_2004-11-01 00:00:00_Ireland.txt	11	44
0274_2006-04-01 00:00:00_Slovakia.txt	22	36
0203_2004-11-01 00:00:00_Bulgaria.txt	19	38
0239_2005-11-01 00:00:00_Cyprus.txt	11	38
0208_2005-04-01 00:00:00_Germany.txt	32	51
0028_2000-04-01 00:00:00_Italy.txt	15	45
0172_2004-04-01 00:00:00_Lithuania.txt	22	47
0227_2005-04-01 00:00:00_Finland.txt	18	38
0128_2003-11-01 00:00:00_Denmark.txt	11	26
0070_2001-11-01 00:00:00_Greece.txt	20	38
0265_2006-04-01 00:00:00_Lithuania.txt	18	37
0245_2005-11-01 00:00:00_Netherlands.txt	13	23
0170_2004-04-01 00:00:00_Hungary.txt	25	30
0230_2005-11-01 00:00:00_Belgium.txt	22	44
0271_2006-04-01 00:00:00_Poland.txt	26	42
0079_2001-11-01 00:00:00_Finland.txt	20	34
